wl,n,k
5.8389,1.3563600,2.820000E-04
5.8653,1.3560200,2.750000E-04
5.8919,1.3554600,2.850000E-04
5.9188,1.3544400,2.940000E-04
5.946,1.3532700,3.070000E-04
5.9734,1.3520800,3.030000E-04
6.0011,1.3514100,2.940000E-04
6.029,1.3510100,5.020000E-04
6.0571,1.3498500,3.990000E-04
6.0856,1.3485600,2.380000E-04
6.1143,1.3477000,4.840000E-04
6.1433,1.3466800,1.090000E-03
6.1725,1.3457200,1.210000E-03
6.202,1.3444800,9.510000E-04
6.2319,1.3438100,1.200000E-03
6.262,1.3432700,1.100000E-03
6.2924,1.3425700,5.760000E-04
6.3231,1.3418800,3.390000E-04
6.3541,1.3409600,3.130000E-04
6.3854,1.3394800,3.940000E-04
6.417,1.3384400,4.600000E-04
6.4489,1.3369800,7.130000E-04
6.4811,1.3351800,7.170000E-04
6.5137,1.3342000,4.910000E-04
6.5466,1.3328700,5.190000E-04
6.5798,1.3310200,2.600000E-04
6.6134,1.3296100,5.840000E-04
6.6473,1.3271100,7.760000E-04
6.6816,1.3236400,6.030000E-04
6.7162,1.3216800,5.890000E-04
6.7512,1.3205300,6.780000E-04
6.7865,1.3183900,1.420000E-03
6.8223,1.3149400,2.570000E-03
6.8583,1.3122300,4.350000E-03
6.8948,1.3119100,6.580000E-03
6.9317,1.3115500,7.040000E-03
6.969,1.3083500,6.480000E-03
7.0066,1.3030600,8.610000E-03
7.0447,1.3003800,1.370000E-02
7.0832,1.3033200,1.800000E-02
7.1221,1.3079000,1.670000E-02
7.1615,1.3093900,1.210000E-02
7.2013,1.3064300,7.400000E-03
7.2415,1.3008700,4.830000E-03
7.2822,1.2947900,3.470000E-03
7.3233,1.2894200,3.070000E-03
7.3649,1.2836300,2.870000E-03
7.407,1.2769700,3.110000E-03
7.4496,1.2706600,3.120000E-03
7.4926,1.2641200,2.590000E-03
7.5362,1.2565000,2.520000E-03
7.5803,1.2475800,3.960000E-03
7.6249,1.2365100,6.050000E-03
7.67,1.2241700,7.770000E-03
7.7156,1.2074700,9.380000E-03
7.7618,1.1842000,1.470000E-02
7.8086,1.1387200,2.930000E-02
7.8559,1.0692000,1.710000E-01
7.9038,1.1308600,3.310000E-01
7.9523,1.3161900,3.320000E-01
8.0014,1.4290300,1.740000E-01
8.0511,1.3802400,5.400000E-02
8.1014,1.3192500,2.730000E-02
8.1524,1.2817700,2.430000E-02
