wl,n,k
0.7960000000,4.6534720000,0.0146640700
0.7970000000,4.6502360000,0.0144940300
0.7980000000,4.6470310000,0.0143261300
0.7990000000,4.6438550000,0.0141603500
0.8000000000,4.6407090000,0.0139966700
0.8010000000,4.6375930000,0.0138350700
0.8020000000,4.6345040000,0.0136755300
0.8030000000,4.6314440000,0.0135180300
0.8040000000,4.6284110000,0.0133625600
0.8050000000,4.6254060000,0.0132090900
0.8060000000,4.6224280000,0.0130576000
0.8070000000,4.6194760000,0.0129080800
0.8080000000,4.6165510000,0.0127605100
0.8090000000,4.6136510000,0.0126147800
0.8100000000,4.6107770000,0.0124704700
0.8110000000,4.6079280000,0.0123275400
0.8120000000,4.6051040000,0.0121859700
0.8130000000,4.6023040000,0.0120457600
0.8140000000,4.5995280000,0.0119068800
0.8150000000,4.5967750000,0.0117693200
0.8160000000,4.5940450000,0.0116330800
0.8170000000,4.5913370000,0.0114981300
0.8180000000,4.5886520000,0.0113644700
0.8190000000,4.5859890000,0.0112320800
0.8200000000,4.5833470000,0.0111009600
0.8210000000,4.5807270000,0.0109710900
0.8220000000,4.5781280000,0.0108424500
0.8230000000,4.5755500000,0.0107150400
0.8240000000,4.5729920000,0.0105888500
0.8250000000,4.5704540000,0.0104638600
0.8260000000,4.5679360000,0.0103400600
0.8270000000,4.5654370000,0.0102174500
0.8280000000,4.5629580000,0.0100960000
0.8290000000,4.5604980000,0.0099757190
0.8300000000,4.5580570000,0.0098565830
0.8310000000,4.5556340000,0.0097385870
0.8320000000,4.5532290000,0.0096217190
0.8330000000,4.5508430000,0.0095059690
0.8340000000,4.5484740000,0.0093913270
0.8350000000,4.5461230000,0.0092777830
0.8360000000,4.5437890000,0.0091653280
0.8370000000,4.5414730000,0.0090539510
0.8380000000,4.5391730000,0.0089436430
0.8390000000,4.5368900000,0.0088343930
0.8400000000,4.5346240000,0.0087261950
0.8410000000,4.5323740000,0.0086190360
0.8420000000,4.5301400000,0.0085129090
0.8430000000,4.5279210000,0.0084078050
0.8440000000,4.5257190000,0.0083037140
0.8450000000,4.5235320000,0.0082006280
0.8460000000,4.5213600000,0.0080985370
0.8470000000,4.5192040000,0.0079974340
0.8480000000,4.5170620000,0.0078973100
0.8490000000,4.5149350000,0.0077981560
0.8500000000,4.5128230000,0.0076999640
0.8510000000,4.5107260000,0.0076027260
0.8520000000,4.5086420000,0.0075064330
0.8530000000,4.5065730000,0.0074110780
0.8540000000,4.5045170000,0.0073166530
0.8550000000,4.5024760000,0.0072231490
0.8560000000,4.5004480000,0.0071305600
0.8570000000,4.4984330000,0.0070388770
0.8580000000,4.4964320000,0.0069480930
0.8590000000,4.4944440000,0.0068582000
0.8600000000,4.4924690000,0.0067691910
0.8610000000,4.4905080000,0.0066810590
0.8620000000,4.4885580000,0.0065937960
0.8630000000,4.4866220000,0.0065073950
0.8640000000,4.4846980000,0.0064218490
0.8650000000,4.4827860000,0.0063371510
0.8660000000,4.4808860000,0.0062532950
0.8670000000,4.4789990000,0.0061702730
0.8680000000,4.4771230000,0.0060880780
0.8690000000,4.4752600000,0.0060067040
0.8700000000,4.4734080000,0.0059261450
0.8710000000,4.4715680000,0.0058463930
0.8720000000,4.4697390000,0.0057674430
0.8730000000,4.4679210000,0.0056892870
0.8740000000,4.4661150000,0.0056119200
0.8750000000,4.4643200000,0.0055353360
0.8760000000,4.4625360000,0.0054595270
0.8770000000,4.4607630000,0.0053844880
0.8780000000,4.4590000000,0.0053102140
0.8790000000,4.4572490000,0.0052366970
0.8800000000,4.4555080000,0.0051639320
0.8810000000,4.4537770000,0.0050919130
0.8820000000,4.4520570000,0.0050206340
0.8830000000,4.4503470000,0.0049500910
0.8840000000,4.4486470000,0.0048802750
0.8850000000,4.4469580000,0.0048111840
0.8860000000,4.4452780000,0.0047428100
0.8870000000,4.4436080000,0.0046751480
0.8880000000,4.4419480000,0.0046081930
0.8890000000,4.4402980000,0.0045419390
0.8900000000,4.4386570000,0.0044763810
0.8910000000,4.4370260000,0.0044115150
0.8920000000,4.4354050000,0.0043473340
