WLnm, Rdata
1.482961e+03, 6.653333e-01
1.483607e+03, 6.648021e-01
1.484252e+03, 6.642696e-01
1.484898e+03, 6.637360e-01
1.485543e+03, 6.632011e-01
1.486189e+03, 6.626651e-01
1.486834e+03, 6.621278e-01
1.487480e+03, 6.615893e-01
1.488125e+03, 6.610497e-01
1.488771e+03, 6.605088e-01
1.489416e+03, 6.599667e-01
1.490062e+03, 6.594234e-01
1.490708e+03, 6.588789e-01
1.491353e+03, 6.583332e-01
1.491999e+03, 6.577863e-01
1.492644e+03, 6.572382e-01
1.493290e+03, 6.566889e-01
1.493935e+03, 6.561384e-01
1.494581e+03, 6.555866e-01
1.495226e+03, 6.550337e-01
1.495872e+03, 6.544795e-01
1.496518e+03, 6.539241e-01
1.497163e+03, 6.533675e-01
1.497809e+03, 6.528097e-01
1.498454e+03, 6.522507e-01
1.499100e+03, 6.516905e-01
1.499745e+03, 6.511291e-01
1.500391e+03, 6.505664e-01
1.501036e+03, 6.500026e-01
1.501682e+03, 6.494375e-01
1.502327e+03, 6.488712e-01
1.502973e+03, 6.483037e-01
1.503619e+03, 6.477350e-01
1.504264e+03, 6.471651e-01
1.504910e+03, 6.465940e-01
1.505555e+03, 6.460216e-01
1.506201e+03, 6.454480e-01
1.506846e+03, 6.448733e-01
1.507492e+03, 6.442973e-01
1.508137e+03, 6.437201e-01
1.508783e+03, 6.431416e-01
1.509428e+03, 6.425620e-01
1.510074e+03, 6.419811e-01
1.510720e+03, 6.413991e-01
1.511365e+03, 6.408158e-01
1.512011e+03, 6.402313e-01
1.512656e+03, 6.396456e-01
1.513302e+03, 6.390586e-01
1.513947e+03, 6.384705e-01
1.514593e+03, 6.378811e-01
1.515238e+03, 6.372905e-01
1.515884e+03, 6.366987e-01
1.516530e+03, 6.361057e-01
1.517175e+03, 6.355115e-01
1.517821e+03, 6.349160e-01
1.518466e+03, 6.343193e-01
1.519112e+03, 6.337214e-01
1.519757e+03, 6.331223e-01
1.520403e+03, 6.325220e-01
1.521048e+03, 6.319205e-01
1.521694e+03, 6.313177e-01
1.522339e+03, 6.307138e-01
1.522985e+03, 6.301086e-01
1.523631e+03, 6.295021e-01
1.524276e+03, 6.288945e-01
1.524922e+03, 6.282857e-01
1.525567e+03, 6.276756e-01
1.526213e+03, 6.270643e-01
1.526858e+03, 6.264518e-01
1.527504e+03, 6.258381e-01
1.528149e+03, 6.252232e-01
1.528795e+03, 6.246071e-01
1.529440e+03, 6.239897e-01
1.530086e+03, 6.233711e-01
1.530732e+03, 6.227513e-01
1.531377e+03, 6.221303e-01
1.532023e+03, 6.215081e-01
1.532668e+03, 6.208846e-01
1.533314e+03, 6.202600e-01
1.533959e+03, 6.196341e-01
1.534605e+03, 6.190070e-01
1.535250e+03, 6.183787e-01
1.535896e+03, 6.177491e-01
1.536542e+03, 6.171184e-01
1.537187e+03, 6.164864e-01
1.537833e+03, 6.158533e-01
1.538478e+03, 6.152189e-01
1.539124e+03, 6.145833e-01
1.539769e+03, 6.139465e-01
1.540415e+03, 6.133089e-01
1.541060e+03, 6.126755e-01
1.541706e+03, 6.120373e-01
1.542351e+03, 6.113957e-01
1.542997e+03, 6.107528e-01
1.543643e+03, 6.101127e-01
1.544288e+03, 6.094722e-01
1.544934e+03, 6.088261e-01
1.545579e+03, 6.081785e-01
1.546225e+03, 6.075310e-01
1.546870e+03, 6.068871e-01
1.547516e+03, 6.062376e-01
1.548161e+03, 6.055855e-01
1.548807e+03, 6.049321e-01
1.549452e+03, 6.042776e-01
1.550098e+03, 6.036235e-01
1.550744e+03, 6.029724e-01
1.551389e+03, 6.023154e-01
1.552035e+03, 6.016562e-01
1.552680e+03, 6.009960e-01
1.553326e+03, 6.003391e-01
1.553971e+03, 5.996802e-01
1.554617e+03, 5.990164e-01
1.555262e+03, 5.983511e-01
1.555908e+03, 5.976867e-01
1.556554e+03, 5.970252e-01
1.557199e+03, 5.963576e-01
1.557845e+03, 5.956878e-01
1.558490e+03, 5.950168e-01
1.559136e+03, 5.943498e-01
1.559781e+03, 5.936807e-01
1.560427e+03, 5.930061e-01
1.561072e+03, 5.923304e-01
1.561718e+03, 5.916554e-01
1.562363e+03, 5.909835e-01
1.563009e+03, 5.903058e-01
1.563655e+03, 5.896257e-01
1.564300e+03, 5.889443e-01
1.564946e+03, 5.882663e-01
1.565591e+03, 5.875872e-01
1.566237e+03, 5.869023e-01
1.566882e+03, 5.862162e-01
1.567528e+03, 5.855301e-01
1.568173e+03, 5.848477e-01
1.568819e+03, 5.841602e-01
1.569464e+03, 5.834697e-01
1.570110e+03, 5.827777e-01
1.570756e+03, 5.820886e-01
1.571401e+03, 5.814000e-01
1.572047e+03, 5.807049e-01
1.572692e+03, 5.800085e-01
1.573338e+03, 5.793112e-01
1.573983e+03, 5.786186e-01
1.574629e+03, 5.779218e-01
1.575274e+03, 5.772208e-01
1.575920e+03, 5.765186e-01
1.576566e+03, 5.758179e-01
1.577211e+03, 5.751198e-01
1.577857e+03, 5.744149e-01
1.578502e+03, 5.737082e-01
1.579148e+03, 5.730005e-01
1.579793e+03, 5.722965e-01
1.580439e+03, 5.715911e-01
1.581084e+03, 5.708800e-01
1.581730e+03, 5.701677e-01
1.582375e+03, 5.694551e-01
1.583021e+03, 5.687466e-01
1.583667e+03, 5.680333e-01
1.584312e+03, 5.673164e-01
1.584958e+03, 5.665987e-01
1.585603e+03, 5.658827e-01
1.586249e+03, 5.651684e-01
1.586894e+03, 5.644477e-01
1.587540e+03, 5.637254e-01
1.588185e+03, 5.630019e-01
1.588831e+03, 5.622823e-01
1.589476e+03, 5.615612e-01
1.590122e+03, 5.608343e-01
1.590768e+03, 5.601063e-01
1.591413e+03, 5.593779e-01
1.592059e+03, 5.586541e-01
1.592704e+03, 5.579257e-01
1.593350e+03, 5.571932e-01
