thisWorkwl,thisWorkn,thisWorkk
782.923706,3.576077,0.094259
784.512573,3.573053,0.093533
786.101318,3.57006,0.09282
787.690002,3.567099,0.09212
789.278564,3.564168,0.091433
790.867065,3.561266,0.090757
792.455444,3.558395,0.090094
794.04364,3.555551,0.089442
795.631836,3.552736,0.088801
797.21991,3.549948,0.088171
798.807861,3.547187,0.087552
800.395752,3.544453,0.086943
801.983521,3.541744,0.086344
803.571167,3.539061,0.085754
805.158691,3.536402,0.085174
806.746155,3.533768,0.084603
808.333435,3.531158,0.084042
809.920715,3.528572,0.083489
811.507813,3.526008,0.082944
813.094788,3.523467,0.082408
814.681702,3.520948,0.08188
816.268433,3.518451,0.08136
817.855103,3.515976,0.080848
819.441589,3.513521,0.080343
821.028137,3.511087,0.079846
822.61438,3.508674,0.079356
824.200562,3.50628,0.078872
825.786621,3.503906,0.078396
827.372681,3.501551,0.077927
828.958374,3.499216,0.077464
830.544128,3.496899,0.077007
832.129761,3.4946,0.076557
833.71521,3.492319,0.076113
835.300598,3.490056,0.075675
836.885742,3.48781,0.075243
838.470886,3.485581,0.074817
840.055847,3.48337,0.074396
841.640625,3.481174,0.073981
843.225403,3.478996,0.073571
844.809937,3.476833,0.073167
846.394348,3.474686,0.072768
847.978699,3.472554,0.072374
849.562866,3.470438,0.071985
851.146851,3.468338,0.0716
852.730835,3.466251,0.071221
854.314636,3.46418,0.070846
855.898254,3.462123,0.070476
857.48175,3.46008,0.07011
859.065125,3.458051,0.069749
860.648315,3.456036,0.069392
862.231445,3.454035,0.06904
863.814331,3.452047,0.068692
865.397156,3.450072,0.068347
866.979797,3.44811,0.068007
868.562317,3.446161,0.067671
870.144714,3.444224,0.067338
871.726868,3.4423,0.06701
873.30896,3.440388,0.066685
874.89093,3.438489,0.066364
876.472656,3.436601,0.066046
878.054321,3.434725,0.065733
879.635742,3.432861,0.065422
881.217102,3.431008,0.065115
882.798218,3.429166,0.064811
884.379272,3.427335,0.064511
885.960144,3.425515,0.064214
887.540833,3.423707,0.06392
889.121399,3.421908,0.06363
890.701782,3.420121,0.063342
892.282043,3.418344,0.063057
893.862122,3.416577,0.062776
895.442017,3.41482,0.062497
897.02179,3.413073,0.062222
898.601379,3.411336,0.061949
900.180786,3.409608,0.061679
901.760071,3.407891,0.061411
903.339172,3.406182,0.061147
904.918091,3.404483,0.060885
906.496887,3.402793,0.060626
908.0755,3.401113,0.060369
909.653931,3.399441,0.060115
911.232117,3.397778,0.059864
912.810242,3.396124,0.059614
914.388184,3.394479,0.059368
915.965942,3.392842,0.059124
917.543457,3.391214,0.058882
919.120911,3.389594,0.058642
920.69812,3.387982,0.058405
922.275208,3.386378,0.05817
923.852051,3.384782,0.057937
925.428711,3.383195,0.057707
