wl_nm,n,k
1564,1.599995,0
1565,1.599989667,0
1566,1.599984333,0
1567,1.599979,0
1568,1.599973667,0
1569,1.599968333,0
1570,1.599963,0
1571,1.5999575,0
1572,1.599952,0
1573,1.5999465,0
1574,1.599941,0
1575,1.5999355,0
1576,1.59993,0
1577,1.599924667,0
1578,1.599919333,0
1579,1.599914,0
1580,1.599908667,0
1581,1.599903333,0
1582,1.599898,0
1583,1.599892667,0
1584,1.599887333,0
1585,1.599882,0
1586,1.599876667,0
1587,1.599871333,0
1588,1.599866,0
1589,1.599860833,0
1590,1.599855667,0
1591,1.5998505,0
1592,1.599845333,0
1593,1.599840167,0
1594,1.599835,0
1595,1.599829833,0
1596,1.599824667,0
1597,1.5998195,0
1598,1.599814333,0
1599,1.599809167,0
1600,1.599804,0
1601,1.599798833,0
1602,1.599793667,0
1603,1.5997885,0
1604,1.599783333,0
1605,1.599778167,0
1606,1.599773,0
1607,1.599768,0
1608,1.599763,0
1609,1.599758,0
1610,1.599753,0
1611,1.599748,0
1612,1.599743,0
1613,1.599738,0
1614,1.599733,0
1615,1.599728,0
1616,1.599723,0
1617,1.599718,0
1618,1.599713,0
1619,1.599708,0
1620,1.599703,0
1621,1.599698,0
1622,1.599693,0
1623,1.599688,0
1624,1.599683,0
1625,1.599678167,0
1626,1.599673333,0
1627,1.5996685,0
1628,1.599663667,0
1629,1.599658833,0
1630,1.599654,0
1631,1.599649167,0
1632,1.599644333,0
1633,1.5996395,0
1634,1.599634667,0
1635,1.599629833,0
1636,1.599625,0
1637,1.599620167,0
1638,1.599615333,0
1639,1.5996105,0
1640,1.599605667,0
1641,1.599600833,0
1642,1.599596,0
1643,1.599591333,0
1644,1.599586667,0
1645,1.599582,0
1646,1.599577333,0
1647,1.599572667,0
1648,1.599568,0
1649,1.599563333,0
1650,1.599558667,0
1651,1.599554,0
1652,1.599549333,0
1653,1.599544667,0
1654,1.59954,0
1655,1.599535333,0
1656,1.599530667,0
1657,1.599526,0
1658,1.599521333,0
1659,1.599516667,0
1660,1.599512,0
1661,1.5995075,0
1662,1.599503,0
1663,1.5994985,0
1664,1.599494,0
1665,1.5994895,0
1666,1.599485,0
1667,1.5994805,0
1668,1.599476,0
1669,1.5994715,0
1670,1.599467,0
1671,1.5994625,0
1672,1.599458,0
1673,1.5994535,0
1674,1.599449,0
1675,1.5994445,0
1676,1.59944,0
1677,1.5994355,0
1678,1.599431,0
1679,1.5994265,0
1680,1.599422,0
1681,1.5994175,0
1682,1.599413,0
1683,1.5994085,0
1684,1.599404,0
1685,1.599399667,0
1686,1.599395333,0
1687,1.599391,0
1688,1.599386667,0
1689,1.599382333,0
1690,1.599378,0
1691,1.599373667,0
1692,1.599369333,0
1693,1.599365,0
1694,1.599360667,0
1695,1.599356333,0
1696,1.599352,0
